City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
65,waipawa,-41.4122,175.5153,10.379999999999995,90,100,2.74,NZ,1680973155
66,coihaique,-45.5752,-72.0662,12.970000000000027,44,0,3.6,CL,1680972976
67,albany,42.6001,-73.9662,8.350000000000023,30,12,2.24,US,1680972980
68,airai,-8.9266,125.4092,14.720000000000027,95,100,0.47,TL,1680973156
69,hiroshima,34.3963,132.4594,8.879999999999995,73,6,1.64,JP,1680973156
70,padang,-0.9492,100.3543,25.189999999999998,85,90,1.58,ID,1680973157
71,miatli,43.0817,46.8286,10.400000000000034,85,100,1.54,RU,1680973157
72,mataura,-46.1927,168.8643,5.2900000000000205,96,100,1.32,NZ,1680973157
73,belaya gora,68.5333,146.4167,-26.22999999999999,100,80,2.04,RU,1680973158
74,chokurdakh,70.6333,147.9167,-24.68999999999997,97,81,2.7,RU,1680973158
75,ceres,37.5949,-120.9577,16.100000000000023,77,0,2.57,US,1680973159
76,rurrenabaque,-14.4413,-67.5278,29.860000000000014,48,99,2.44,BO,1680973159
77,saldanha,-33.0117,17.9442,17.03000000000003,67,63,8.61,ZA,1680973159
78,chaman,30.9236,66.4512,20.5,25,0,0.88,PK,1680973160
79,srandakan,-7.9386,110.2506,24.80000000000001,87,70,1.81,ID,1680973160
80,olafsvik,64.8945,-23.7142,6.740000000000009,80,79,10.62,IS,1680973161
81,pangnirtung,66.1451,-65.7125,-23.99999999999997,84,0,2.57,CA,1680973161
82,doka,13.5167,35.7667,35.69,13,81,4.56,SD,1680973161
83,bluff,-46.6,168.3333,8.550000000000011,88,100,3.34,NZ,1680973162
84,zhanaozen,43.3,52.8,16.900000000000034,43,96,1.59,KZ,1680973162
85,mount pleasant,32.7941,-79.8626,12.990000000000009,96,100,4.63,US,1680973162
86,benguela,-12.5763,13.4055,27.53000000000003,79,97,2.54,AO,1680973163
87,bambous virieux,-20.3428,57.7575,26.140000000000043,89,40,3.6,MU,1680973163
88,cacule,-14.5033,-42.2222,36.29000000000002,25,37,2.67,BR,1680973163
89,iqaluit,63.7506,-68.5145,-18.149999999999977,65,75,8.23,CA,1680973163
90,jacareacanga,-6.2222,-57.7528,28.07000000000005,80,97,0.82,BR,1680973164
91,vao,-22.6667,167.4833,25.150000000000034,75,1,4.42,NC,1680973164
92,abramovka,51.1886,41.0202,9.400000000000034,54,87,4.34,RU,1680973164
93,jackson,42.4165,-122.8345,8.970000000000027,80,40,0.0,US,1680973165
94,la ronge,55.1001,-105.2842,1.1400000000000432,55,0,4.63,CA,1680973165
95,madang,-5.2246,145.7966,24.07000000000005,90,100,1.33,PG,1680973165
96,roblin,51.23,-101.3565,-1.3599999999999568,86,14,6.34,CA,1680973165
